policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,truncated
heuristic,0,123,Host,1,112.64999999999998,-105.18999999999998,65,16,0
heuristic,1,124,Host,1,49.70000000000006,-47.57000000000006,131,2,0
heuristic,2,125,Host,1,91.24999999999999,-87.40999999999998,45,12,0
heuristic,3,126,Bacteria,0,182.09999999999988,-182.09999999999988,171,0,0
heuristic,4,127,Host,1,10.999999999999988,-6.999999999999988,74,0,0
heuristic,5,128,Host,1,88.5,-84.64,43,12,0
heuristic,6,129,Host,1,34.89999999999999,-25.59499999999999,72,3,0
heuristic,7,130,Host,1,98.29999999999998,-95.75999999999998,95,10,0
heuristic,8,131,Host,1,35.85000000000001,-31.33000000000001,30,10,0
heuristic,9,132,Bacteria,0,177.79999999999976,-177.79999999999976,220,0,0
heuristic,10,133,Host,1,140.09999999999994,-129.49999999999994,45,16,0
heuristic,11,134,Host,1,175.64999999999992,-167.3499999999999,176,12,0
heuristic,12,135,Bacteria,0,181.20000000000041,-184.1400000000004,177,0,0
heuristic,13,136,Host,1,122.14999999999998,-105.19999999999997,61,12,0
heuristic,14,137,Bacteria,0,182.50000000000014,-180.22000000000014,220,12,0
heuristic,15,138,Host,1,101.54999999999995,-98.11499999999995,111,11,0
heuristic,16,139,Bacteria,0,90.70000000000017,-85.82000000000018,220,0,0
heuristic,17,140,Bacteria,0,183.45000000000016,-179.94000000000017,101,12,0
heuristic,18,141,Host,1,69.79999999999998,-63.72999999999998,56,12,0
heuristic,19,142,Host,1,70.39999999999998,-61.32999999999998,95,12,0
mcts,0,123,Bacteria,0,167.5999999999999,-168.6749999999999,220,0,0
mcts,1,124,Bacteria,0,65.99999999999973,-71.24999999999973,220,0,0
mcts,2,125,Bacteria,0,180.60000000000028,-184.52000000000027,162,0,0
mcts,3,126,Bacteria,0,183.3999999999999,-188.2999999999999,170,0,0
mcts,4,127,Bacteria,0,180.29999999999987,-182.13499999999988,102,0,0
mcts,5,128,Bacteria,0,180.39999999999978,-182.84999999999977,105,0,0
mcts,6,129,Bacteria,0,181.0000000000004,-185.2000000000004,167,0,0
mcts,7,130,Bacteria,0,181.9999999999999,-184.7999999999999,114,0,0
mcts,8,131,Host,1,149.15000000000018,-138.77000000000018,134,5,0
mcts,9,132,Bacteria,0,181.09999999999965,-185.64999999999966,180,0,0
mcts,10,133,Bacteria,0,180.50000000000037,-183.82500000000036,131,0,0
mcts,11,134,Bacteria,0,164.50000000000009,-168.5250000000001,220,0,0
mcts,12,135,Bacteria,0,180.5,-183.3,140,0,0
mcts,13,136,Bacteria,0,181.09999999999997,-183.54999999999995,113,0,0
mcts,14,137,Bacteria,0,103.09999999999991,-103.6499999999999,220,0,0
mcts,15,138,Bacteria,0,180.40000000000003,-187.05000000000004,202,0,0
mcts,16,139,Bacteria,0,181.80000000000015,-184.60000000000016,139,0,0
mcts,17,140,Bacteria,0,65.99999999999973,-71.59999999999972,220,0,0
mcts,18,141,Bacteria,0,181.7000000000002,-183.9750000000002,123,0,0
mcts,19,142,Bacteria,0,157.00000000000026,-159.37500000000026,220,0,0
rl,0,123,Host,1,80.2,-73.34,46,12,0
rl,1,124,Host,1,47.49999999999999,-49.07999999999999,42,12,0
rl,2,125,Host,1,61.5,-60.08,43,12,0
rl,3,126,Host,1,131.54999999999998,-125.54499999999999,56,13,0
rl,4,127,Bacteria,0,180.5000000000001,-175.05500000000012,58,13,0
rl,5,128,Host,1,119.0,-105.875,56,13,0
rl,6,129,Host,1,98.34999999999998,-95.04999999999998,49,12,0
rl,7,130,Host,1,67.39999999999998,-65.97999999999998,44,12,0
rl,8,131,Bacteria,0,181.10000000000016,-167.14000000000016,62,24,0
rl,9,132,Host,1,87.19999999999999,-87.89999999999999,48,12,0
rl,10,133,Host,1,179.95000000000005,-166.99000000000004,80,24,0
rl,11,134,Host,1,68.69999999999999,-71.83999999999999,46,12,0
rl,12,135,Host,1,96.4,-95.10000000000001,49,12,0
rl,13,136,Host,1,154.95,-142.945,71,13,0
rl,14,137,Host,1,133.54999999999995,-140.41499999999996,60,23,0
rl,15,138,Host,1,75.59999999999998,-76.73999999999998,46,12,0
rl,16,139,Host,1,77.19999999999997,-80.89999999999998,48,12,0
rl,17,140,Host,1,18.950000000000006,-20.360000000000007,37,6,0
rl,18,141,Host,1,67.64999999999999,-69.78999999999999,46,12,0
rl,19,142,Bacteria,0,181.74999999999994,-193.78999999999994,62,24,0
