policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Host,1,46.620000000000026,-47.395000000000024,126,0,14,18,0,0,0.11358024691358025,0.015873015873015872,1.0,0,0
heuristic,1,124,Bacteria,0,181.04000000000045,-181.49000000000044,130,6,0,15,0,0,0.09135802469135802,0.0,0.7,0,0
heuristic,2,125,Bacteria,0,180.46000000000035,-180.46000000000035,186,0,0,0,0,0,0.21728395061728395,0.0,0.0,0,0
heuristic,3,126,Bacteria,0,117.6000000000003,-117.6000000000003,220,0,0,0,0,0,0.18518518518518517,0.00909090909090909,0.0,0,0
heuristic,4,127,Host,1,146.49999999999966,-136.09499999999966,161,5,42,16,0,0,0.1728395061728395,0.0,0.9565217391304348,0,0
heuristic,5,128,Host,1,55.720000000000084,-47.330000000000084,104,0,25,6,0,0,0.1259259259259259,0.009615384615384616,0.5096153846153846,0,0
heuristic,6,129,Host,1,131.99999999999972,-126.60499999999972,163,2,14,8,0,0,0.18518518518518517,0.0,0.6073619631901841,0,0
heuristic,7,130,Host,1,104.91999999999997,-90.21499999999997,91,1,28,2,0,0,0.1382716049382716,0.0,0.5274725274725275,0,0
heuristic,8,131,Host,1,35.42000000000006,-32.87000000000006,160,0,17,14,0,0,0.16790123456790124,0.0,1.0,0,0
heuristic,9,132,Host,1,21.980000000000025,-20.605000000000025,75,0,13,8,0,0,0.08148148148148149,0.013333333333333334,1.0,0,0
heuristic,10,133,Host,1,72.02000000000018,-72.69500000000018,190,1,26,23,0,0,0.13580246913580246,0.010526315789473684,1.0,0,0
heuristic,11,134,Host,1,168.79999999999922,-155.19999999999922,189,3,54,19,0,0,0.18518518518518517,0.005291005291005291,0.9788359788359788,0,0
heuristic,12,135,Bacteria,0,180.1200000000003,-176.2950000000003,137,2,0,28,0,4,0.08888888888888889,0.0,0.7445255474452555,0,0
heuristic,13,136,Host,1,118.73999999999995,-112.73499999999996,130,4,17,3,0,12,0.17037037037037037,0.0,0.5,0,0
heuristic,14,137,Host,1,84.28000000000006,-75.60500000000006,124,5,22,12,0,0,0.15555555555555556,0.008064516129032258,0.9274193548387096,0,0
heuristic,15,138,Host,1,152.90000000000015,-147.66000000000014,135,8,0,6,0,2,0.12098765432098765,0.007407407407407408,0.6296296296296297,0,0
heuristic,16,139,Bacteria,0,129.56000000000017,-123.01500000000017,220,3,33,32,0,18,0.20987654320987653,0.0,0.9,0,0
heuristic,17,140,Bacteria,0,181.16000000000057,-181.16000000000057,180,0,0,0,0,0,0.08641975308641975,0.0,0.0,0,0
heuristic,18,141,Bacteria,0,180.14000000000001,-175.335,124,2,17,14,0,0,0.21481481481481482,0.008064516129032258,0.5887096774193549,0,0
heuristic,19,142,Bacteria,0,153.44000000000037,-165.69000000000037,220,0,0,63,0,0,0.022222222222222223,0.0,1.0,0,0
heuristic,20,143,Host,1,134.73999999999984,-122.42999999999984,192,1,44,13,0,13,0.20246913580246914,0.015625,0.828125,0,0
heuristic,21,144,Host,1,173.28000000000023,-168.97000000000023,162,7,17,32,0,0,0.1654320987654321,0.0,0.9320987654320988,0,0
heuristic,22,145,Host,1,41.440000000000055,-35.01500000000006,101,0,18,7,0,17,0.11851851851851852,0.0,0.7920792079207921,0,0
heuristic,23,146,Host,1,135.57999999999993,-125.65999999999993,133,1,30,9,0,0,0.20987654320987653,0.007518796992481203,0.556390977443609,0,0
heuristic,24,147,Bacteria,0,182.22000000000023,-180.03500000000022,183,1,34,30,0,17,0.16296296296296298,0.0,0.9016393442622951,0,0
heuristic,25,148,Host,1,127.09999999999994,-119.11999999999993,121,2,25,14,0,0,0.1654320987654321,0.0,0.8181818181818182,0,0
heuristic,26,149,Host,1,111.52000000000012,-110.03500000000012,111,8,0,8,0,3,0.05432098765432099,0.0,0.8738738738738738,0,0
heuristic,27,150,Bacteria,0,180.79999999999998,-176.795,209,1,0,6,0,0,0.1728395061728395,0.004784688995215311,0.12440191387559808,0,0
heuristic,28,151,Host,1,80.58000000000013,-77.93000000000012,145,2,23,22,0,0,0.15555555555555556,0.0,0.9793103448275862,0,0
heuristic,29,152,Bacteria,0,147.84000000000015,-149.90500000000014,220,4,11,19,0,0,0.145679012345679,0.0,0.9090909090909091,0,0
heuristic,30,153,Bacteria,0,180.85999999999996,-191.04499999999996,129,4,0,25,0,0,0.0345679012345679,0.0,0.9302325581395349,0,0
heuristic,31,154,Host,1,39.200000000000074,-35.075000000000074,147,0,11,5,0,16,0.17777777777777778,0.006802721088435374,0.6462585034013606,0,0
heuristic,32,155,Bacteria,0,61.88000000000018,-58.63000000000018,220,0,12,9,0,35,0.1654320987654321,0.0,0.5,0,0
heuristic,33,156,Bacteria,0,181.00000000000028,-179.41000000000028,107,3,12,9,0,0,0.17037037037037037,0.0,0.411214953271028,0,0
heuristic,34,157,Host,1,68.4600000000002,-63.985000000000205,193,0,12,3,0,1,0.2765432098765432,0.015544041450777202,0.3005181347150259,0,0
heuristic,35,158,Bacteria,0,180.0400000000002,-175.4050000000002,195,0,35,29,0,0,0.24691358024691357,0.0,0.9794871794871794,0,0
heuristic,36,159,Bacteria,0,139.02000000000018,-139.02000000000018,220,0,0,0,0,0,0.21728395061728395,0.004545454545454545,0.2590909090909091,0,0
heuristic,37,160,Host,1,102.10000000000002,-96.78500000000003,87,12,20,17,0,0,0.08641975308641975,0.0,0.9655172413793104,0,0
heuristic,38,161,Bacteria,0,69.44000000000011,-68.01500000000011,220,0,7,5,0,17,0.2345679012345679,0.0,0.15,0,0
heuristic,39,162,Host,1,61.460000000000164,-59.655000000000165,170,0,25,21,0,14,0.10864197530864197,0.023529411764705882,0.8058823529411765,0,0
heuristic,40,163,Host,1,61.03999999999998,-58.02999999999998,71,3,17,9,0,0,0.08888888888888889,0.0,1.0,0,0
heuristic,41,164,Host,1,126.76000000000003,-106.72000000000003,114,5,25,4,0,21,0.14074074074074075,0.008771929824561403,0.7894736842105263,0,0
heuristic,42,165,Bacteria,0,180.03999999999985,-176.03999999999985,177,0,24,22,0,37,0.18024691358024691,0.0,0.6949152542372882,0,0
heuristic,43,166,Bacteria,0,180.59999999999982,-180.59999999999982,120,0,0,0,0,0,0.14814814814814814,0.008333333333333333,0.0,0,0
heuristic,44,167,Host,1,62.97999999999996,-51.83499999999996,58,1,17,3,0,0,0.0962962962962963,0.0,0.5862068965517241,0,0
heuristic,45,168,Host,1,81.64000000000003,-65.12000000000003,109,2,27,14,0,0,0.10864197530864197,0.0,1.0,0,0
heuristic,46,169,Bacteria,0,180.1000000000001,-171.80500000000012,139,3,28,21,0,12,0.1259259259259259,0.007194244604316547,0.8057553956834532,0,0
heuristic,47,170,Host,1,143.3,-131.94500000000002,137,2,23,3,0,14,0.15308641975308643,0.0,0.41605839416058393,0,0
heuristic,48,171,Host,1,166.16000000000005,-153.14500000000004,168,3,33,13,0,16,0.18024691358024691,0.005952380952380952,0.7678571428571429,0,0
heuristic,49,172,Bacteria,0,180.73999999999984,-180.73999999999984,101,0,0,0,0,0,0.07160493827160494,0.0,0.0,0,0
heuristic,50,173,Host,1,53.10000000000003,-50.61500000000003,75,1,6,10,0,0,0.12839506172839507,0.0,0.7466666666666667,0,0
heuristic,51,174,Bacteria,0,114.94000000000035,-114.94000000000035,220,0,0,0,0,0,0.20493827160493827,0.0,0.12727272727272726,0,0
heuristic,52,175,Host,1,169.67999999999995,-160.02499999999995,181,2,22,6,0,17,0.2716049382716049,0.0,0.47513812154696133,0,0
heuristic,53,176,Bacteria,0,181.4800000000002,-182.0900000000002,87,13,0,12,0,0,0.04691358024691358,0.0,0.9770114942528736,0,0
heuristic,54,177,Host,1,31.36000000000004,-23.49500000000004,93,0,22,8,0,0,0.1382716049382716,0.0,1.0,0,0
heuristic,55,178,Bacteria,0,181.40000000000023,-181.19500000000025,198,1,29,25,0,0,0.2641975308641975,0.005050505050505051,0.7222222222222222,0,0
heuristic,56,179,Bacteria,0,180.4400000000004,-171.9400000000004,140,2,12,7,0,0,0.19506172839506172,0.014285714285714285,0.4142857142857143,0,0
heuristic,57,180,Host,1,45.360000000000056,-42.75500000000005,113,0,13,15,0,0,0.1308641975308642,0.0,0.7079646017699115,0,0
heuristic,58,181,Bacteria,0,72.24000000000022,-76.14000000000023,220,0,2,28,0,14,0.19012345679012346,0.0,0.6318181818181818,0,0
heuristic,59,182,Bacteria,0,180.7399999999997,-180.7399999999997,118,0,0,0,0,0,0.08888888888888889,0.0,0.0,0,0
heuristic,60,183,Host,1,40.880000000000095,-38.980000000000096,136,0,11,12,0,5,0.1925925925925926,0.0,0.7352941176470589,0,0
heuristic,61,184,Host,1,52.22000000000013,-49.07000000000013,139,0,19,14,0,0,0.2222222222222222,0.007194244604316547,0.7482014388489209,0,0
heuristic,62,185,Bacteria,0,180.42000000000033,-177.56500000000034,158,5,38,23,0,0,0.17530864197530865,0.0,0.9936708860759493,0,0
heuristic,63,186,Host,1,113.62000000000012,-115.10000000000012,189,3,23,36,0,1,0.23703703703703705,0.0,0.9947089947089947,0,0
heuristic,64,187,Host,1,63.73999999999998,-53.99999999999998,91,3,19,2,0,16,0.12839506172839507,0.0,0.6703296703296703,0,0
heuristic,65,188,Bacteria,0,43.26000000000009,-42.83500000000009,220,0,6,9,0,34,0.18765432098765433,0.0,0.2772727272727273,0,0
heuristic,66,189,Host,1,47.41999999999997,-43.989999999999974,48,3,14,9,0,0,0.05925925925925926,0.0,1.0,0,0
heuristic,67,190,Bacteria,0,181.34000000000023,-190.96500000000023,96,7,0,15,0,0,0.04691358024691358,0.0,0.9270833333333334,0,0
heuristic,68,191,Host,1,46.34000000000002,-42.09000000000002,124,0,14,7,0,18,0.14074074074074075,0.0,0.6693548387096774,0,0
heuristic,69,192,Bacteria,0,117.32000000000032,-117.32000000000032,220,0,0,0,0,0,0.10123456790123457,0.0,0.0,0,0
heuristic,70,193,Host,1,128.21999999999997,-118.32999999999997,125,3,22,10,0,0,0.2,0.008,0.568,0,0
heuristic,71,194,Host,1,82.32000000000018,-79.34500000000018,186,0,18,17,0,20,0.1580246913580247,0.0,0.5161290322580645,0,0
heuristic,72,195,Bacteria,0,180.31999999999996,-180.31999999999996,213,0,0,0,0,0,0.08888888888888889,0.0,0.0,0,0
heuristic,73,196,Host,1,36.260000000000076,-36.410000000000075,140,0,8,12,0,15,0.15555555555555556,0.014285714285714285,0.8785714285714286,0,0
heuristic,74,197,Bacteria,0,83.58000000000018,-77.65500000000019,220,0,32,18,0,0,0.2222222222222222,0.013636363636363636,0.8090909090909091,0,0
heuristic,75,198,Host,1,98.94,-95.31,58,8,0,10,0,0,0.022222222222222223,0.0,1.0,0,0
heuristic,76,199,Host,1,132.16000000000003,-122.01500000000003,153,0,30,4,0,0,0.2,0.0,0.4117647058823529,0,0
heuristic,77,200,Bacteria,0,135.94000000000023,-135.94000000000023,220,0,0,0,0,0,0.17777777777777778,0.0,0.0,0,0
heuristic,78,201,Bacteria,0,181.22000000000034,-185.00000000000034,135,6,0,23,0,0,0.037037037037037035,0.0,0.9333333333333333,0,0
heuristic,79,202,Bacteria,0,179.6200000000006,-179.6200000000006,220,0,0,0,0,0,0.18271604938271604,0.004545454545454545,0.0,0,0
heuristic,80,203,Bacteria,0,171.90000000000018,-155.31000000000017,207,7,64,27,0,20,0.17037037037037037,0.0,0.855072463768116,0,0
heuristic,81,204,Bacteria,0,133.98000000000047,-132.98000000000047,220,0,2,0,0,13,0.1506172839506173,0.0,0.1,0,0
heuristic,82,205,Bacteria,0,115.22000000000034,-109.24500000000035,220,0,28,15,0,20,0.21728395061728395,0.004545454545454545,0.8272727272727273,0,0
heuristic,83,206,Bacteria,0,181.0200000000004,-181.0200000000004,179,0,0,0,0,0,0.18271604938271604,0.0,0.0,0,0
heuristic,84,207,Bacteria,0,92.4000000000003,-92.4000000000003,220,0,0,0,0,0,0.14074074074074075,0.004545454545454545,0.0,0,0
heuristic,85,208,Bacteria,0,183.10000000000002,-189.40000000000003,90,3,0,11,0,0,0.06172839506172839,0.0,0.7888888888888889,0,0
heuristic,86,209,Host,1,83.72000000000004,-66.99500000000005,102,4,29,6,0,0,0.08888888888888889,0.0,1.0,0,0
heuristic,87,210,Bacteria,0,92.4000000000003,-92.4000000000003,220,0,0,0,0,0,0.056790123456790124,0.0,0.0,0,0
heuristic,88,211,Bacteria,0,181.43999999999986,-171.17499999999987,188,2,46,16,0,0,0.19753086419753085,0.0,0.5957446808510638,0,0
heuristic,89,212,Bacteria,0,181.7200000000003,-177.6600000000003,187,3,24,25,0,19,0.19753086419753085,0.0,0.7219251336898396,0,0
heuristic,90,213,Host,1,116.59999999999995,-104.53499999999995,86,6,22,11,0,2,0.06666666666666667,0.0,0.9767441860465116,0,0
heuristic,91,214,Host,1,40.32000000000002,-38.92000000000002,125,0,15,19,0,0,0.19753086419753085,0.0,1.0,0,0
heuristic,92,215,Bacteria,0,92.4000000000003,-104.3000000000003,220,0,0,68,0,0,0.019753086419753086,0.0,1.0,1,0
heuristic,93,216,Bacteria,0,117.46000000000032,-121.03500000000032,220,2,34,46,0,0,0.145679012345679,0.00909090909090909,1.0,0,0
heuristic,94,217,Host,1,114.93999999999994,-107.75499999999994,132,4,25,8,0,0,0.18024691358024691,0.0,0.6287878787878788,0,0
heuristic,95,218,Host,1,15.120000000000012,-12.120000000000012,60,0,6,0,0,1,0.08888888888888889,0.03333333333333333,0.95,0,0
heuristic,96,219,Host,1,71.2600000000002,-68.3450000000002,206,0,28,36,0,0,0.23703703703703705,0.0048543689320388345,0.8446601941747572,0,0
heuristic,97,220,Bacteria,0,85.54000000000022,-83.64500000000022,144,0,23,23,0,0,0.1506172839506173,0.0,1.0,0,0
heuristic,98,221,Bacteria,0,170.94000000000045,-170.94000000000045,220,0,0,0,0,0,0.17037037037037037,0.004545454545454545,0.0,0,0
heuristic,99,222,Bacteria,0,171.50000000000054,-171.50000000000054,220,0,0,0,0,0,0.09876543209876543,0.0,0.0,0,0
rl,0,123,Bacteria,0,59.50000000000017,-56.72500000000017,166,0,11,6,0,22,0.10123456790123457,0.0,0.7891566265060241,0,0
rl,1,124,Bacteria,0,52.36000000000015,-48.36000000000015,220,0,11,0,0,37,0.1308641975308642,0.004545454545454545,0.25,0,0
rl,2,125,Bacteria,0,101.84000000000017,-100.28500000000017,168,1,20,8,0,1,0.14074074074074075,0.0,0.8809523809523809,0,0
rl,3,126,Bacteria,0,181.30000000000004,-181.30000000000004,139,0,0,0,0,0,0.11604938271604938,0.0,0.0,0,0
rl,4,127,Host,1,82.02000000000007,-85.14500000000007,81,10,0,13,0,0,0.04197530864197531,0.0,0.8271604938271605,0,0
rl,5,128,Host,1,123.22000000000003,-114.59000000000003,46,12,10,8,0,0,0.07160493827160494,0.0,0.5869565217391305,0,0
rl,6,129,Host,1,110.18000000000005,-106.31500000000005,130,5,15,3,0,0,0.15555555555555556,0.0,0.6615384615384615,0,0
rl,7,130,Bacteria,0,181.08000000000018,-174.87000000000018,144,12,22,11,0,1,0.1728395061728395,0.006944444444444444,0.5555555555555556,0,0
rl,8,131,Bacteria,0,184.70000000000007,-172.89500000000007,157,11,35,9,0,0,0.11851851851851852,0.0,1.0,0,0
rl,9,132,Host,1,155.46000000000012,-151.15000000000012,102,12,20,5,0,0,0.05432098765432099,0.0,1.0,0,0
rl,10,133,Bacteria,0,134.4000000000002,-134.45000000000022,115,0,5,5,0,0,0.04938271604938271,0.0,1.0,0,0
rl,11,134,Host,1,37.24000000000006,-28.940000000000058,104,0,22,2,0,0,0.10123456790123457,0.0,0.9807692307692307,0,0
rl,12,135,Host,1,70.2800000000002,-66.9800000000002,154,0,11,2,0,0,0.1925925925925926,0.045454545454545456,0.18181818181818182,0,0
rl,13,136,Bacteria,0,184.47999999999988,-177.58499999999987,76,12,0,10,0,2,0.10864197530864197,0.013157894736842105,0.47368421052631576,0,0
rl,14,137,Host,1,123.08000000000015,-105.34000000000016,193,2,40,2,0,0,0.14074074074074075,0.0,0.9740932642487047,0,0
rl,15,138,Bacteria,0,92.4000000000003,-92.4000000000003,220,0,0,0,0,5,0.1037037037037037,0.0,0.1409090909090909,0,0
rl,16,139,Bacteria,0,45.78000000000011,-38.78000000000011,170,0,22,0,0,13,0.13580246913580246,0.0,0.8941176470588236,0,0
rl,17,140,Host,1,176.76000000000013,-167.69000000000014,139,12,13,9,0,0,0.21481481481481482,0.007194244604316547,0.2949640287769784,0,0
rl,18,141,Host,1,98.1600000000001,-94.2350000000001,106,7,12,8,0,0,0.14074074074074075,0.0,0.44339622641509435,0,0
rl,19,142,Bacteria,0,180.05999999999995,-171.80499999999995,167,7,26,6,0,1,0.18765432098765433,0.0,0.8083832335329342,0,0
rl,20,143,Host,1,118.64000000000003,-113.62500000000003,155,1,25,13,0,25,0.145679012345679,0.0,0.7032258064516129,0,0
