policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Bacteria,0,37.70000000000005,-38.425000000000054,220,0,15,23,0,26,0.17777777777777778,0.00909090909090909,0.5590909090909091,0,0
heuristic,1,124,Bacteria,0,181.4000000000002,-176.6100000000002,102,6,0,11,0,0,0.08641975308641975,0.0,0.6372549019607843,0,0
heuristic,2,125,Bacteria,0,180.2000000000003,-180.2000000000003,184,0,0,0,0,0,0.21728395061728395,0.010869565217391304,0.0,0,0
heuristic,3,126,Bacteria,0,138.7499999999997,-132.8449999999997,220,3,20,15,0,0,0.32592592592592595,0.004545454545454545,0.3409090909090909,0,0
heuristic,4,127,Bacteria,0,14.999999999999975,-10.999999999999975,97,0,10,0,0,0,0.11604938271604938,0.0,0.8865979381443299,0,0
heuristic,5,128,Host,1,19.400000000000023,-16.750000000000025,72,0,9,2,0,0,0.10617283950617284,0.013888888888888888,0.3055555555555556,0,0
heuristic,6,129,Host,1,88.90000000000009,-77.06500000000008,120,4,35,10,0,7,0.11851851851851852,0.0,0.675,0,0
heuristic,7,130,Host,1,163.4499999999996,-150.6649999999996,207,3,42,14,0,22,0.2222222222222222,0.0,0.5748792270531401,0,0
heuristic,8,131,Host,1,4.5,-1.5,29,0,6,0,0,8,0.03950617283950617,0.0,0.7241379310344828,0,0
heuristic,9,132,Host,1,29.900000000000002,-24.385,73,1,21,9,0,0,0.07654320987654321,0.0,1.0,0,0
heuristic,10,133,Host,1,6.899999999999999,1.1000000000000014,23,0,11,0,0,0,0.03209876543209877,0.0,1.0,0,0
heuristic,11,134,Host,1,35.20000000000005,-27.035000000000053,89,1,25,8,0,0,0.12839506172839507,0.011235955056179775,0.9550561797752809,0,0
heuristic,12,135,Host,1,55.55000000000001,-49.38000000000001,56,2,0,8,0,0,0.07654320987654321,0.0,0.6071428571428571,0,0
heuristic,13,136,Host,1,177.10000000000014,-160.70500000000013,166,1,34,12,0,18,0.18024691358024691,0.0,0.6265060240963856,0,0
heuristic,14,137,Host,1,15.499999999999996,-12.199999999999996,62,0,9,4,0,0,0.11604938271604938,0.0,0.8709677419354839,0,0
heuristic,15,138,Bacteria,0,181.3999999999998,-195.60999999999981,141,8,0,24,0,0,0.12098765432098765,0.0070921985815602835,0.7375886524822695,0,0
heuristic,16,139,Bacteria,0,78.39999999999966,-72.02499999999966,220,0,22,11,0,21,0.20246913580246914,0.0,0.4590909090909091,0,0
