policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Host,1,67.99999999999999,-61.49499999999998,79,3,19,10,0,0,0.08888888888888889,0.012658227848101266,1.0,0,0
heuristic,1,124,Bacteria,0,135.6000000000002,-135.6000000000002,220,0,0,0,0,0,0.21481481481481482,0.004545454545454545,0.0,0,0
heuristic,2,125,Bacteria,0,181.7999999999999,-188.4249999999999,121,0,9,21,0,0,0.15308641975308643,0.0,0.6528925619834711,0,0
heuristic,3,126,Bacteria,0,181.0999999999994,-181.7999999999994,198,0,0,3,0,0,0.17777777777777778,0.0,0.5151515151515151,0,0
heuristic,4,127,Bacteria,0,136.59999999999985,-122.60999999999986,220,5,54,26,0,16,0.20987654320987653,0.00909090909090909,0.8909090909090909,0,0
heuristic,5,128,Bacteria,0,181.89999999999995,-182.70499999999996,101,2,13,14,0,0,0.14074074074074075,0.009900990099009901,0.6237623762376238,0,0
heuristic,6,129,Bacteria,0,181.4000000000005,-168.22500000000048,218,3,47,14,0,23,0.23950617283950618,0.0,0.6284403669724771,0,0
heuristic,7,130,Host,1,102.39999999999988,-90.24999999999987,73,3,0,8,0,8,0.08148148148148149,0.0,0.5205479452054794,0,0
heuristic,8,131,Bacteria,0,181.1000000000002,-182.21000000000018,176,1,12,15,0,13,0.16296296296296298,0.0,0.8295454545454546,0,0
heuristic,9,132,Host,1,72.24999999999997,-72.10499999999998,192,2,26,35,0,1,0.10617283950617284,0.03125,0.9947916666666666,0,0
heuristic,10,133,Host,1,32.000000000000085,-30.000000000000085,121,0,21,22,0,1,0.12345679012345678,0.008264462809917356,0.9917355371900827,0,0
heuristic,11,134,Host,1,44.400000000000105,-40.055000000000106,117,1,21,14,0,9,0.12345679012345678,0.0,0.905982905982906,0,0
heuristic,12,135,Bacteria,0,98.75000000000007,-84.66500000000008,159,2,51,20,0,0,0.2,0.0,0.9308176100628931,0,0
heuristic,13,136,Host,1,176.49999999999994,-142.74999999999994,144,4,46,11,0,0,0.16790123456790124,0.0,0.9027777777777778,0,0
heuristic,14,137,Bacteria,0,180.70000000000002,-179.995,145,0,5,3,0,0,0.24938271604938272,0.006896551724137931,0.12413793103448276,0,0
heuristic,15,138,Bacteria,0,168.0500000000001,-158.3100000000001,220,6,37,22,0,16,0.29876543209876544,0.004545454545454545,0.65,0,0
heuristic,16,139,Host,1,67.19999999999975,-68.84999999999975,218,1,7,22,0,27,0.18518518518518517,0.0,0.8073394495412844,0,0
heuristic,17,140,Bacteria,0,135.09999999999974,-125.22999999999973,220,3,0,9,0,18,0.2,0.0,0.22272727272727272,0,0
