policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Host,1,81.44999999999999,-81.58999999999999,102,10,0,11,0,0,0.065,0.0,0.9019607843137255,0,0
heuristic,1,124,Bacteria,0,73.6999999999994,-76.1899999999994,220,2,0,24,0,14,0.2125,0.004545454545454545,0.41818181818181815,0,0
heuristic,2,125,Host,1,25.000000000000025,-19.610000000000024,61,1,15,4,0,0,0.1,0.0,1.0,0,0
heuristic,3,126,Host,1,13.29999999999999,-9.74999999999999,72,0,12,14,0,0,0.0925,0.0,1.0,0,0
heuristic,4,127,Bacteria,0,164.80000000000018,-165.3250000000002,220,0,0,3,0,0,0.1975,0.00909090909090909,0.05,0,0
heuristic,5,128,Bacteria,0,180.8000000000001,-180.8000000000001,162,0,0,0,0,0,0.205,0.0,0.09876543209876543,0,0
heuristic,6,129,Bacteria,0,180.84999999999997,-181.36499999999998,123,4,32,20,0,0,0.1575,0.008130081300813009,1.0,0,0
heuristic,7,130,Bacteria,0,87.70000000000017,-87.70000000000017,220,0,0,0,0,0,0.245,0.013636363636363636,0.01818181818181818,0,0
heuristic,8,131,Bacteria,0,131.54999999999984,-127.83999999999985,220,2,0,6,0,15,0.2375,0.0,0.19545454545454546,0,0
heuristic,9,132,Host,1,17.199999999999992,-9.424999999999992,70,0,22,6,0,0,0.095,0.0,1.0,0,0
heuristic,10,133,Bacteria,0,180.7999999999997,-180.7999999999997,135,0,0,0,0,0,0.2175,0.0,0.0,0,0
heuristic,11,134,Bacteria,0,180.3000000000003,-183.1000000000003,172,0,0,16,0,0,0.17,0.0,0.3023255813953488,0,0
heuristic,12,135,Host,1,66.05,-69.695,115,2,0,21,0,0,0.0825,0.0,0.6695652173913044,0,0
heuristic,13,136,Bacteria,0,85.40000000000013,-87.32500000000013,220,0,0,11,0,0,0.21,0.01818181818181818,0.22727272727272727,0,0
heuristic,14,137,Bacteria,0,184.3000000000002,-192.5950000000002,176,8,0,13,0,0,0.1925,0.011363636363636364,0.4034090909090909,0,0
heuristic,15,138,Bacteria,0,179.30000000000004,-179.65000000000003,220,0,0,2,0,1,0.2475,0.004545454545454545,0.22727272727272727,0,0
heuristic,16,139,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.2475,0.0,0.0,0,0
heuristic,17,140,Host,1,35.65000000000001,-22.325000000000014,42,1,7,8,0,0,0.055,0.0,1.0,0,0
heuristic,18,141,Host,1,5.899999999999994,-3.949999999999994,41,0,6,6,0,1,0.0675,0.0,0.9512195121951219,0,0
heuristic,19,142,Bacteria,0,180.7499999999998,-185.1099999999998,186,8,0,29,0,17,0.0575,0.0,0.7150537634408602,0,0
heuristic,20,143,Bacteria,0,149.19999999999985,-149.19999999999985,220,0,0,0,0,0,0.2475,0.004545454545454545,0.01818181818181818,0,0
heuristic,21,144,Bacteria,0,121.65000000000028,-129.29500000000027,220,3,0,60,0,0,0.045,0.0,0.9818181818181818,0,0
heuristic,22,145,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.2475,0.004545454545454545,0.00909090909090909,0,0
heuristic,23,146,Host,1,40.39999999999998,-37.02999999999998,109,2,25,22,0,0,0.1075,0.009174311926605505,1.0,0,0
heuristic,24,147,Bacteria,0,178.8500000000001,-178.2700000000001,220,7,0,36,0,0,0.11,0.0,0.8318181818181818,0,0
