step,phase,macrophage_health,bacteria_count,neutrophil_count,tissue_damage,host_utility,colonized_compartments,chemokine_peak,nutrient_total
0,seeding,140,3,0,0.0,0.0,1,0.0,2965.7759300363873
1,detection_containment,140,2,0,0.2,0.8,1,2.105245233392882,3043.8990413424003
2,detection_containment,140,2,0,0.4,0.6,1,1.7546370670242113,3120.0068133416753
3,detection_containment,140,2,0,0.6000000000000001,0.3999999999999999,1,1.5104133118301388,3195.173172183104
4,detection_containment,140,2,0,0.8,0.19999999999999996,1,1.2180548732915029,3269.928608143256
5,detection_containment,140,2,0,1.0,0.0,1,1.0337092008170228,3343.650166275532
6,seeding,140,2,0,1.2,-0.19999999999999996,1,0.8797668929036649,3415.986978989028
7,seeding,140,2,0,1.4,-0.3999999999999999,1,0.7964415948707919,3487.3057041194907
8,seeding,140,2,0,1.5999999999999999,-0.5999999999999999,1,0.7040868591033799,3557.707698660377
9,seeding,140,2,0,1.7999999999999998,-0.7999999999999998,1,0.5939174898300773,3626.9918080907337
10,seeding,140,2,0,1.9999999999999998,-0.9999999999999998,1,0.5595108472917018,3694.7710965375345
11,seeding,140,2,0,2.1999999999999997,-1.1999999999999997,1,0.46511691858950643,3761.794597646593
12,seeding,140,2,0,2.4,-1.4,1,0.4163174036288593,3826.9643364511726
13,seeding,135,2,0,2.6,-1.6,1,0.7582385135054422,3890.815746624242
14,seeding,135,2,0,2.8000000000000003,-1.8000000000000003,1,0.7127317850832932,3953.2928155866084
15,seeding,135,2,0,3.0000000000000004,-2.0000000000000004,1,0.7944064226879914,4014.8451155289217
16,seeding,135,2,0,3.2000000000000006,-2.2000000000000006,1,0.8551004878399564,4075.88937475412
17,detection_containment,135,2,0,3.400000000000001,-2.400000000000001,1,2.104094639557689,4136.267725979522
18,detection_containment,135,2,0,3.600000000000001,-2.600000000000001,1,1.9153005262499672,4195.842134007531
19,detection_containment,130,2,0,3.800000000000001,-2.800000000000001,1,3.0390418023807397,4254.419231363194
20,detection_containment,130,2,0,4.000000000000001,-3.000000000000001,1,2.928642549027432,4311.936616016281
21,detection_containment,125,2,0,4.200000000000001,-3.200000000000001,1,3.79627833450212,4368.097223620042
22,detection_containment,125,2,0,4.400000000000001,-3.4000000000000012,1,3.635632080740601,4422.483497682649
23,detection_containment,125,2,0,4.600000000000001,-3.6000000000000014,1,5.945333299518261,4475.086400974889
24,detection_containment,120,2,0,4.800000000000002,-3.8000000000000016,1,5.044519643325851,4526.339774779416
