policy,episode,seed,winner,win,tissue_damage,host_utility,episode_length,recruited_neutrophils,attack_actions,signal_actions,blind_signal_actions,stay_actions,coverage_ratio,corner_dwell_ratio,visible_bacteria_ratio,camp_signal_signature,truncated
heuristic,0,123,Bacteria,0,39.100000000000065,-41.000000000000064,142,0,15,14,0,0,0.11604938271604938,0.014084507042253521,1.0,0,0
heuristic,1,124,Host,1,116.75,-115.045,105,9,0,12,0,0,0.08395061728395062,0.0,0.6190476190476191,0,0
heuristic,2,125,Bacteria,0,156.1000000000002,-156.1000000000002,220,0,0,0,0,0,0.22469135802469137,0.0,0.0,0,0
heuristic,3,126,Bacteria,0,84.00000000000013,-84.00000000000013,220,0,0,0,0,0,0.18518518518518517,0.00909090909090909,0.0,0,0
heuristic,4,127,Host,1,73.14999999999999,-63.43999999999999,49,6,10,4,0,0,0.08888888888888889,0.0,0.8571428571428571,0,0
mcts,0,123,Host,1,22.70000000000005,-19.70000000000005,132,0,6,0,0,1,0.12098765432098765,0.05303030303030303,0.4772727272727273,0,0
mcts,1,124,Bacteria,0,142.50000000000037,-141.42000000000036,220,1,0,16,0,27,0.07901234567901234,0.0,0.7636363636363637,0,0
mcts,2,125,Bacteria,0,156.1000000000002,-156.1000000000002,220,0,0,0,0,0,0.22469135802469137,0.0,0.0,0,0
mcts,3,126,Bacteria,0,84.00000000000013,-84.00000000000013,220,0,0,0,0,0,0.18518518518518517,0.00909090909090909,0.0,0,0
mcts,4,127,Bacteria,0,180.90000000000012,-179.77500000000012,149,0,5,5,1,11,0.1654320987654321,0.0,0.5100671140939598,0,0
rl,0,123,Bacteria,0,65.10000000000005,-65.10000000000005,173,0,5,0,0,0,0.027160493827160494,0.0,1.0,0,0
rl,1,124,Bacteria,0,163.89999999999958,-163.89999999999958,220,0,0,0,0,0,0.145679012345679,0.0,0.05454545454545454,0,0
rl,2,125,Bacteria,0,136.20000000000027,-134.20000000000027,220,0,5,0,0,0,0.19506172839506172,0.0,0.6681818181818182,0,0
rl,3,126,Bacteria,0,180.20000000000036,-180.20000000000036,178,0,0,0,0,0,0.17037037037037037,0.033707865168539325,0.0,0,0
rl,4,127,Bacteria,0,65.99999999999973,-65.99999999999973,220,0,0,0,0,0,0.04691358024691358,0.0,0.05454545454545454,0,0
