delay,damage_per_neutrophil,trial,winner,steps,tissue_damage,host_utility,final_bacteria
5,0.35,0,Host,54,44.2,-43.89,0
5,0.35,1,Bacteria,220,54.200000000000294,-59.60000000000029,2
5,0.35,2,Bacteria,109,182.15000000000023,-187.26000000000022,32
5,0.35,3,Bacteria,167,180.29999999999995,-183.34499999999994,23
5,0.35,4,Bacteria,183,181.4000000000001,-184.72500000000008,18
5,0.35,5,Bacteria,94,181.6,-181.95,39
7,0.45,0,Bacteria,220,35.90000000000024,-36.22500000000024,1
7,0.45,1,Host,50,100.14999999999999,-97.42999999999999,0
7,0.45,2,Host,63,40.70000000000001,-38.915000000000006,0
7,0.45,3,Host,64,142.94999999999993,-135.90999999999994,0
7,0.45,4,Bacteria,188,53.80000000000014,-48.63000000000014,5
7,0.45,5,Bacteria,84,183.35,-155.72,0
10,0.55,0,Host,71,129.54999999999987,-128.86499999999987,0
10,0.55,1,Host,53,95.79999999999994,-92.69499999999994,0
10,0.55,2,Bacteria,96,184.70000000000007,-167.35000000000008,9
10,0.55,3,Bacteria,68,181.15000000000003,-185.56000000000003,11
10,0.55,4,Host,86,55.60000000000003,-47.75000000000003,0
10,0.55,5,Bacteria,82,185.89999999999995,-177.87999999999994,17
